a, b, c, d, e
6, 1, 26, 36, 4600
7, 7, 27, 37, 47
7, 7, 27, 37, 47
7, 7, 27, 37, 47
9, 19, 29, 39, 49
9, 19, 29, 39, 49
9, 19, 29, 39, 49
9, 19, 29, 39, 49
10, 20, 30, 40, 50
10, 20, 30, 40, 50
10, 20, 30, 40, 50
10, 20, 30, 40, 50
25, 35, 45, 5, 15
25, 35, 45, 5, 15
25, 35, 45, 5, 15
25, 35, 45, 5, 15
25, 35, 45, 5, 15
25, 35, 45, 5, 15
37, 47, 7, 17, 27
37, 47, 7, 17, 27
6, 100, 26, 36, 46
8, 108, 28, 38, 48
8, 108, 28, 38, 48
8, 108, 28, 38, 48
8, 108, 28, 38, 48
6, 125, 26, 36, 46
8, 128, 28, 38, 48
8, 128, 28, 38, 48
8, 128, 28, 38, 48
8, 128, 28, 38, 48
8, 128, 28, 38, 48
8, 128, 28, 38, 48
4, 146, 24, 34, 44
4, 146, 24, 34, 44
4, 146, 24, 34, 44
4, 146, 24, 34, 44
7, 173, 27, 37, 47
7, 173, 27, 37, 47
7, 173, 27, 37, 47
3, 173, 24, 33, 43
3, 173, 24, 33, 43
7, 173, 27, 37, 47
7, 173, 27, 37, 47
7, 173, 27, 37, 47
6, 187, 26, 36, 4600
9, 191, 29, 39, 49
9, 191, 29, 39, 49
9, 191, 29, 39, 49
9, 191, 29, 39, 49
9, 191, 29, 39, 49
9, 191, 29, 39, 49
10, 200, 30, 40, 50
10, 200, 30, 40, 50
10, 200, 30, 40, 50
10, 200, 30, 40, 50
10, 245, 30, 40, 50
10, 245, 30, 40, 50
6, 416, 26, 36, 46
6, 416, 26, 36, 46
6, 416, 26, 36, 46
6, 416, 26, 36, 46
5, 515, 25, 35, 45
5, 515, 25, 35, 45
5, 515, 25, 35, 45
5, 515, 25, 35, 45
7, 700, 27, 37, 47
2, 812, 2, 32, 42
2, 812, 2, 32, 42
1, 911, 87, 31, 41
1, 911, 87, 31, 41
